,motor_B,motor_C,motor_D,motor_E,screw_B,screw_C,screw_D,screw_E,pgain_4,pgain_5,pgain_6,vgain_2,vgain_3,vgain_4,vgain_5,censoring,class
0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0.28125095
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0.5062525
2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0.35625148
3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.500033
4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0.35625148
5,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0.8062546
6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5.100014
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.7000422
8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.76875436
9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0312537
10,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0.46875226
11,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0.39375174
12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.28125095
13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1.1
14,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.5062525
15,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1.8999897
16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.9000011
17,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.46875226
18,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.5437528
19,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0.20625044
20,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0.9187554
21,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1.1062483
22,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0.46875226
23,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.58125305
24,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.58125305
25,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0.39375174
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.3000236
27,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0.46875226
28,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.8999897
29,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4.299977
30,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0.35625148
31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.899964
32,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5437528
33,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5437528
34,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0.5062525
35,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1.1
36,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5000003
37,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.13124992
38,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0.5437528
39,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.20625044
40,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0.69375384
41,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0.88125515
42,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.9187554
43,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.2437507
44,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.6562536
45,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0312537
46,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.8062546
47,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0.431252
48,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4.0999675
49,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.7000007
50,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0.431252
51,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4.499986
52,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.6999955
53,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0.5062525
54,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.7312541
55,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1.1437455
56,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.88125515
57,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1.0312537
58,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6.9000983
59,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.9562557
60,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0.58125305
61,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0.58125305
62,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0.431252
63,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5437528
64,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.7312541
65,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.5062525
66,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1.6999923
67,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1.2999974
68,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.5437528
69,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.39375174
70,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.8062546
71,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.28125095
72,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.5437528
73,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.5062525
74,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.35625148
75,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0.5062525
76,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0.28125095
77,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.499986
78,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4.6999955
79,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1.2999974
80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.1001077
81,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.5062525
82,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.46875226
83,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.76875436
84,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0.58125305
85,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0.46875226
86,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0.8437549
87,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.8437549
88,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0.5062525
89,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.35625148
90,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.69375384
91,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1.068751
92,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.1062483
93,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.5437528
94,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.2437507
95,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0.5062525
96,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.9000011
97,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.431252
98,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4.0999675
99,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0.99375594
100,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.5062525
101,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4.499986
102,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.899964
103,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0.39375174
104,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.2437507
105,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.2437507
106,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1.1812428
107,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2999974
108,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0.431252
109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.499982
110,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0.5062525
111,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7312541
112,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.46875226
113,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.068751
114,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1.2187401
115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8437549
116,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.99375594
117,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0.31875122
118,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.99375594
119,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.4999949
120,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.58125305
121,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.76875436
122,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5437528
123,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.2999974
124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.299977
125,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0312537
126,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.8999897
127,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.431252
128,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.58125305
129,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.299977
130,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0.31875122
131,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0.5437528
132,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0.28125095
133,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0.35625148
134,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.46875226
135,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0.5437528
136,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6187533
137,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.5062525
138,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.20625044
139,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.899964
140,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0.5062525
141,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1.1062483
142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.899964
143,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.8062546
144,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.899964
145,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1.4999949
146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.100014
147,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1.4999949
148,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.6999955
149,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.88125515
150,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.8062546
151,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.7000007
152,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.9000011
153,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.4999949
154,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.2437507
155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4.0999675
156,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0.99375594
157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.6999955
158,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0.58125305
159,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.8062546
160,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.6999795
161,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0.46875226
162,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.499986
163,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.6999667
164,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.9562557
165,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4.499986
166,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.8062546
